# 長門型
ながと, 長門, 名
むつ, 陸奥, 名

# 伊勢型
いせ, 伊勢, 名
ひゅうが, 日向, 名

# 扶桑型
ふそう, 扶桑, 名
やましろ, 山城, 名

# 金剛型
こんごう, 金剛, 名
ひえい, 比叡, 名
はるな, 榛名, 名
きりしま, 霧島, 名

# 大和型
やまと, 大和, 名
むさし, 武蔵, 名

# ビスマルク級
びすまるく, Bismarck, 名

# ヴィットリオ級
りっとりお, Littorio, 名
ろーま, Roma, 名

# アイオワ級
あいおわ, Iowa, 名

# エリザベス級
うぉーすぱいと, Warspite, 名

# ろしあ(ウォッカ)
がんぐーと, Гангут, 名
がんぐーと, Октябрьская революция, 名
おくちゃぶりすかやれヴぉりゅーつぃや, Октябрьская революция, 名
がんぐーと, ангут два, 名

# リシュリュー型
リシュリュー, Richelieu, 名

# ネルソン級
ねるそん, Nelson, 名

# コロラド級
ころらど, Colorado, 名

# サウスダコタ級
さうすだこた, South Dakota, 名

# North Carolina 級
わしんとん, Washington, 名
