# 正規空母s
# Japan
あかぎ, 赤城, 名
かが, 加賀, 名
そうりゅう, 蒼龍, 名
ひりゅう, 飛龍, 名
しょうかく, 翔鶴, 名
ずいかく, 瑞鶴, 名
うんりゅう, 雲龍, 名
あまぎ, 天城, 名
かつらぎ, 葛城, 名
たいほう, 大鳳, 名

# ドイツ
ぐらーふつぇっぺりん, Graf Zeppelin, 名

# イタリア
あくぃら, Aquila, 名

# アメリカ
さらとが, Saratoga, 名
いんとれぴっど, Intrepid, 名
ほーねっと, Hornet, 名

# イギリス
アークロイヤル, Ark Royal, 名


# 軽空母s
# 🗾
ほうしょう, 鳳翔, 名
りゅうじょう, 龍驤, 名
ひよう, 飛鷹, 名
じゅんよう, 隼鷹, 名
しょうほう, 祥鳳, 名
ずいほう, 瑞鳳, 名
かすがまる, 春日丸, 名
たいよう, 大鷹, 名
しんよう, 神鷹, 名
りゅうほう, 龍鳳, 名

# アメリカ
がんびあ・べい, Gambier Bay, 名
がんびあべい, Gambier Bay, 名
べい, Gambier Bay, 名
