かみかぜ, 神風, 名
あさかぜ, 朝風, 名
はるかぜ, 春風, 名
まつかぜ, 松風, 名
はたかぜ, 旗風, 名
ふぶき, 吹雪, 名
しらゆき, 白雪, 名
はつゆき, 初雪, 名
みゆき, 深雪, 名
むらくも, 叢雲, 名
うすぐも, 薄雲, 名
いそなみ, 磯波, 名
うらなみ, 浦波, 名
あやなみ, 綾波, 名
しきなみ, 敷波, 名
あまぎり, 天霧, 名
さぎり, 狭霧, 名
おぼろ, 朧, 名
あけぼの, 曙, 名
さざなみ, 漣, 名
うしお, 潮, 名
あかつき, 暁, 名
ひびき, 響, 名
ヴぇーるぬい, Верный, 名
ヴぇーるぬい, ヴェールヌイ, 名
いかづち, 雷, 名
いなずま, 電, 名
いなづま, 電, 名
はつはる, 初春, 名
ねのひ, 子日, 名
わかば, 若葉, 名
はつしも, 初霜, 名
ありあけ, 有明, 名
むつき, 睦月, 名
きさらぎ, 如月, 名
やよい, 弥生, 名
うづき, 卯月, 名
さつき, 皐月, 名
みなづき, 水無月, 名
ふみづき, 文月, 名
ながつき, 長月, 名
きくづき, 菊月, 名
みかづき, 三日月, 名
もちづき, 望月, 名
しらつゆ, 白露, 名
しぐれ, 時雨, 名
むらさめ, 村雨, 名
ゆうだち, 夕立, 名
はるさめ, 春雨, 名
さみだれ, 五月雨, 名
うみかぜ, 海風, 名
やまかぜ, 山風, 名
かわかぜ, 江風, 名
すずかぜ, 涼風, 名
あさしお, 朝潮, 名
おおしお, 大潮, 名
みちしお, 満潮, 名
あらしお, 荒潮, 名
あさぐも, 朝雲, 名
やまぐも, 山雲, 名
みねぐも, 峯雲, 名
あられ, 霰, 名
かすみ, 霞, 名
かげろう, 陽炎, 名
しらぬい, 不知火, 名
くろしお, 黒潮, 名
おやしお, 親潮, 名
はつかぜ, 初風, 名
ゆきかぜ, 雪風, 名
あまつかぜ, 天津風, 名
ときつかぜ, 時津風, 名
うらかぜ, 浦風, 名
いそかぜ, 磯風, 名
はまかぜ, 浜風, 名
たにかぜ, 谷風, 名
のわき, 野分, 名
あらし, 嵐, 名
はぎかぜ, 萩風, 名
まいかぜ, 舞風, 名
あきぐも, 秋雲, 名
ゆうぐも, 夕雲, 名
まきぐも, 巻雲, 名
かざぐも, 風雲, 名
ながなみ, 長波, 名
たかなみ, 高波, 名
ふじなみ, 藤波, 名
はやなみ, 早波, 名
はまなみ, 浜波, 名
おきなみ, 沖波, 名
きしなみ, 岸波, 名
あさしも, 朝霜, 名
はやしも, 早霜, 名
きよしも, 清霜, 名
あきづき, 秋月, 名
てるづき, 照月, 名
すずつき, 涼月, 名
はつづき, 初月, 名
しまかぜ, 島風, 名
まつ, 松, 名
れーべれひとまーす, Z1, 名
れーべ, Z1, 名
まっくすしゅるつ, Z3, 名
まっくす, Z3, 名
まえすとらーれ, Maestrale, 名
ぐれかーれ, Grecale, 名
りべっちお, Libeccio, 名
たしゅけんと, Ташкент, 名
じゃーゔぃす, Jervis, 名
じぇーなす, Janus, 名
さみゅえるB.ろばーつ, Samuel B.Roberts, 名
さみゅえるびーろばーつ, Samuel B.Roberts, 名
さみゅえる, Samuel B.Roberts, 名
さむ, Samuel B.Roberts, 名
さみゅ, Samuel B.Roberts, 名
ふれっちゃー, Fletcher, 名
じょんすとん, Johnston, 名
