# よくわからん

# 母港
# 母港、編成
ぼこう, 母港, 名詞
ちんじゅふのあきまつり, 鎮守府の秋祭り, 名詞
あかしのこうしょう, 明石の工廠, 名詞
れんごうかんたいのしゅつげき, 連合艦隊の出撃, 名詞
かいじょうごえいせん, 海上護衛戦, 名詞
こなゆきのふるよる, 粉雪の降る夜, 名詞
せいやのぼこう, 聖夜の母港, 名詞
あめとおさけとかんむす, 雨とお酒と艦娘, 名詞
あまおとのちんじゅふ, 雨音の鎮守府, 名詞
はなべのかんむす, 浜辺の艦娘, 名詞
みずぎのしゅつげき, 水着の出撃, 名詞
ふゆのかんたい, 冬の艦隊, 名詞
れんごうかんたいきかん, 連合艦隊旗艦, 名詞
かんむすのていとくのしょくたく, 艦娘の提督の食卓, 名詞
あなたとのきずな, 提督との絆, 名詞
あきのちんじゅふ, 秋の鎮守府, 名詞
ちんじゅふさんままつり, 鎮守府秋刀魚祭り, 名詞
しわすのちんじゅふ, 師走の鎮守府, 名詞
とくがたくちくかん, 特型駆逐艦, 名詞
げいしゅんのちんじゅふ, 迎春の鎮守府, 名詞
ふんしきのたいどう, 噴式の胎動, 名詞
しこんのまもり, 士魂の護り, 名詞
かんむすのおかしづくり, 艦娘のお菓子作り, 名詞
むさしのきとう, 武蔵の帰投, 名詞
いのり, 祈り, 名詞
もものせっくとかんむす, 桃の節句と艦娘, 名詞
はるかなるうるしーはくち, 遥かなるウルシー泊地, 名詞
とらっくめざして, トラック目指して, 名詞
せつぶんのちんじゅふ, 節分の鎮守府, 名詞
つゆあけのしらつゆ, 梅雨明けの白露, 名詞
にすいせんのこうせき, 二水戦の航跡, 名詞
はっくのげいげき, 八駆の迎撃, 名詞
かんむすおんど, 艦娘音頭, 名詞
ながなみ、かける, 長波、駆ける, 名詞
ながなみかける, 長波、駆ける, 名詞
ずいうんのそら, 瑞雲の空, 名詞

# 出撃
しゅつげき, 出撃, 名詞

# 改装とか
こうしょう, 工廠, 名詞

# 改修工廠
あかしのこうしょう, 明石の工廠, 名詞
ふんしきのたいどう, 噴式の胎動, 名詞

# 模様替え
ちんじゅふのごご, 鎮守府の午後, 名詞

# 図鑑
かいこう, 邂逅, 名詞

# ケッコンカッコカリ
あなたとのきずな, 提督との絆, 名詞


# 常設？戦闘
ちゅうせん, 昼戦, 名詞
やせん, 夜戦, 名詞
かいじょうごえいせん, 海上護衛戦, 名詞
われ、てききどうぶたいとこうせんす, 我、敵機動部隊ト交戦ス, 名詞
がんかのいごう, 眼下の伊号, 名詞
しんぺんかいじょうごえいたいばつびょう, 新編「海上護衛隊」抜錨！, 名詞
てきちょうどきゅうせんかんをたたけ, 敵超弩級戦艦を叩け！, 名詞
ふゆのかんたい, 冬の艦隊, 名詞


# イベント

# kce-13.1
ちゅうせん, 昼戦, 名詞
やせん, 夜戦！, 名詞

# kce-13.2
ぜんかんむす、とつげき, 全艦娘、突撃！, 名詞
ぜんかんむすとつげき, 全艦娘、突撃！, 名詞

# kce-13.3
ぜんかんむす、とつげき, 全艦娘、突撃！, 名詞
ぜんかんむすとつげき, 全艦娘、突撃！, 名詞
けっせんてっていかいきょうをぬけて, 決戦！鉄底海峡を抜けて, 名詞

# kce-13.4
ふゆのばつびょう, 冬の抜錨！, 名詞

# kce-14.1
さくてきき、はっかんはじめ, 索敵機、発艦始め！, 名詞
さくてききはっかんはじめ, 索敵機、発艦始め！, 名詞
てきかんたい、みゆ, 敵艦隊、見ゆ！, 名詞
てきかんたいみゆ, 敵艦隊、見ゆ！, 名詞

# kce-14.2
うなばらへ, 海原へ, 名詞
きょうしゅうくうぼきぼうぶたい, 強襲！空母機動部隊, 名詞
MIさくせん, MI作戦, 名詞
みさくせん, MI作戦, 名詞
しずめしずめ, シズメシズメ, 名詞
ひりゅうのはんげき, 飛龍の反撃, 名詞

# kce-14.3
れんごうかんたいのしゅつげき, 連合艦隊の出撃, 名詞
かんたいけっせん, 艦隊決戦, 名詞
しゅげつのそら, 秋月の空, 名詞
ぼうくうくちくかん、さんせん, 防空駆逐艦、参戦！, 名詞
ぼうくうくちくかんさんせん, 防空駆逐艦、参戦！, 名詞

# kce-15.1
とくがたくちくかん, 特型駆逐艦, 名詞
ふぶき、しゅつげきす, 吹雪、出撃す！, 名詞
ふぶきしゅつげきす, 吹雪、出撃す！, 名詞

# kce-15.2
むつきがたくちくかんのたたかい, 睦月型駆逐艦の戦い, 名詞
れんごうかんたい、にしへ, 連合艦隊、西へ, 名詞
れんごうかんたいにしへ, 連合艦隊、西へ, 名詞
しんかいへのいざない, 深海への誘い, 名詞
もどれないの, モドレナイノ, 名詞

# kce-15.3
