ｃ２きかん, C2機関, 固有名詞

かんたいこれくしょん, 艦隊これくしょん, 固有名詞
かんこれ, 艦これ, 短縮よみ

かんむす, 艦娘, 名詞
しんかいせいかん, 深海棲艦, 名詞

ぎそう, 艤装, 名詞
かいに, 改二, 名詞
どらい, drei, 名詞
えりーと, elite, 名詞
ふらぐしっぷ, flagship, 名詞

ひしょかん, 秘書艦, 名詞
しょきかん, 初期艦, 名詞
きかん, 旗艦, 名詞

せんせいたいせんこうげき, 先制対潜攻撃, 名詞
だんちゃくかんそくしゃげき, 弾着観測射撃, 名詞
しゃだんかんそくしゃげき, 射弾観測射撃, 名詞

かんたいじんけい, 艦隊陣形, 名詞
じんけい, 陣形, 名詞
たんじゅうじん, 単縦陣, 名詞
たんじゅう, 単縦, 名詞
ふくじゅうじん, 複縦陣, 名詞
ふくじゅう, 複縦, 名詞
りんけいじん, 輪形陣, 名詞
りんけい, 輪形, 名詞
ていけいじん, 梯形陣, 名詞
ていけい, 梯形, 名詞
たんおうじん, 単横陣, 名詞
たんおう, 単横, 名詞
けいかいじん, 警戒陣, 名詞

こうせんけいたい, 交戦形態, 名詞
どうこうせん, 同抗戦, 名詞
はんこうせん, 反抗戦, 名詞
てぃーじせん, T字戦, 名詞
ｔじせん, T字戦, 名詞
てぃーじゆうり, T字有利, 名詞
ｔじゆうり, T字有利, 名詞
てぃーじふり, T字不利, 名詞
ｔじふり, T字不利, 名詞

ようりくかん, 揚陸艦, 名詞
ようりく, 揚陸, 短縮よみ
ほきゅうかん, 補給艦, 名詞
ほきゅう, 補給, 短縮よみ
れんしゅうじゅんようかん, 練習巡洋艦, 名詞
れんじゅん, 練巡, 短縮よみ
せんすいぼかん, 潜水母艦, 名詞
せんぼ, 潜母艦, 短縮よみ
こうさくかん, 工作艦, 名詞
こうさく, 工作, 短縮よみ
そうこうくうぼ, 装甲空母, 名詞
そうぼ, 装空, 短縮よみ
すいじょうきぼかん, 水上機母艦, 名詞
すいぼ, 水母, 短縮よみ
せんすいくうぼ, 潜水空母, 名詞
せんぼ, 潜母, 短縮よみ
せんすいかん, 潜水艦, 名詞
せんすい, 潜水, 短縮よみ
せいきくうぼ, 正規空母, 名詞
せいくう, 正空, 短縮よみ
こうくうせんかん, 航空戦艦, 名詞
