うちゅうみこあらわる, 宇宙巫女現る, 名詞
わすれがたき、よすがのみどり, 忘れがたき、よすがの緑, 名詞
わすれがたきよすがのみどり, 忘れがたき、よすがの緑, 名詞
うさぎはまいおりた, 兎は舞い降りた, 名詞
みずうみはきよめのげっこうをうつして, 湖は浄めの月光を映して, 名詞
くがつのぱんぷきん, 九月のパンプキン, 名詞
うちゅうをとぶふしぎなみこ, 宇宙を飛ぶ不思議な巫女, 名詞
えいえんのしゅんむ, 永遠の春夢, 名詞
こおりついたえいえんのみやこ, 凍り付いた永遠の都, 名詞
ぎゃくてんするほいーるおぶふぉーちゅん, 逆転するホイールオブフォーチュン, 名詞
はるか３８まんきろのぼやーじゅ, 遥か38万キロのボヤージュ, 名詞
せいじょうきのぴえろ, 星条旗のピエロ, 名詞
こきょうのほしがうつるうみ, 故郷の星が映る海, 名詞
ぴゅあひゅーりーず~こころのありか, ピュアヒューリーズ ~ 心の在処, 名詞
ぴゅあひゅーりーず, ピュアヒューリーズ, 名詞
みたこともないあくむのせかい, 見た事も無い悪夢の世界, 名詞
ぱんでもにっくぷらねっと, パンデモニックプラネット, 名詞
うちゅうからみえるつき, 神社から見える月, 名詞
うちゅうみこきかんする, 宇宙巫女帰還する, 名詞
