ものいわぬけもののれい, 物言わぬ獣の霊, 名詞
じぞうだけがしるあいたん, 地蔵だけが知る哀嘆, 名詞
じぇりーすとーん, ジェリーストーン, 名詞
ろすとりばー, ロストリバー, 名詞
いしのあかごとすいちゅうのうし, 石の赤子と水中の牛, 名詞
ふきゅうのまんじゅしゃげ, 不朽の曼珠沙華, 名詞
せらふぃっくちきん, セラフィックチキン, 名詞
あんろけいてっどへる, アンロケイテッドヘル, 名詞
とーたすどらごん, トータスドラゴン ~ 幸運と不運, 名詞
とーたすどらごん, トータスドラゴン, 名詞
びーすとめとろぽりす, ビーストメトロポリス, 名詞
せらみっくすのじょうとうにん, セラミックスの杖刀人, 名詞
えれくとりっくへりてーじ, エレクトリックヘリテージ, 名詞
ぐうぞうにせかいをゆだねて, 偶像に世界を委ねて ~ Idoratrize World, 名詞
ぐうぞうにせかいをゆだねて, 偶像に世界を委ねて, 名詞
かがやかしきじゃくにくきょうしょくのおきて, 輝かしき弱肉強食の掟, 名詞
しょうとくたいしのぺがさす, 聖徳太子のペガサス ~ Dark Pegasus, 名詞
しょうとくたいしのぺがさす, 聖徳太子のペガサス, 名詞
ちくしょうたちのきゅうそく, 畜生達の休息, 名詞
ちかからのきかん, 地下からの帰還, 名詞
