ゆめはじくうをこえて, 夢は時空を越えて, 名詞
せれくしょん, Selection, 名詞
とうほうようれいだん, 東方妖恋談, 名詞
りーいんかーねいしょん, Reincarnation, 名詞
でぃむどりーむ, Dim. Dream, 名詞
＠みしてい, Tabula rasa ~ 空白少女, 名詞
くうはくしょうじょ, Tabula rasa ~ 空白少女, 短縮よみ
くうはくしょうじょ, 空白少女, 名詞
まにあかるぷりんせす, Maniacal Princess, 名詞
ゆめしょうしつろすとどりーむ, 夢消失 ~ Lost Dream, 名詞
ゆめしょうしつ, 夢消失 ~ Lost Dream, 短縮よみ
ゆめしょうしつ, 夢消失, 名詞
＠みしてい, 夢幻遊戯 ~ Dream War, 名詞
むげんゆうぎ, 夢幻遊戯 ~ Dream War, 短縮よみ
むげんゆうぎ, 夢幻遊戯, 名詞
あさくらりえこ, 夢幻遊戯 ~ Dream War, 名詞
＠みしてい, 魔法決戦！ ~ Fight it out!, 名詞
まほうけっせん, 魔法決戦！ ~ Fight it out!, 短縮よみ
まほうけっせん, 魔法決戦！, 名詞
せーらーおぶたいむ, Sailor of Time, 名詞
すとろべりーくらいしす, Strawberry Crisis!!, 名詞
ひとういつまほうせかいろん, 非統一魔法世界論, 名詞
まほうしょうあい, 魔法鐘愛, 名詞
くおんのゆめ, 久遠の夢, 名詞
とうほうのあおいそら, 東方の青い空, 名詞
えいえんのまんげつ, 永遠の満月, 名詞
めいぷるどりーむ, aple Dream..., 名詞
れいじんのきゅうじつ, 霊人の休日, 名詞
しょうりでも, 勝利デモ, 名詞
げーむおーばー, ゲームオーバー, 名詞
ときのかぜ, 時の風, 名詞
すたーぼうどりーむ, スターボウドリーム, 名詞
ふぁんたずまごりあ, Phantasmagoria, 名詞
